gap_g0w0,gap_pbe,gap_mbj,vol,cohesive,valence,number,period,mass,vdw,EN,EA,valence_std,number_std,period_std,mass_std,vdw_std,EN_std,EA_std
3.7694,2.1275,3.235233,24.90645745,-3.531007811,2.285714286,27.42857143,3.714285714,62.17028571,1.81,2.152857143,8.625057143,0.451753951,9.225076738,0.451753951,22.72354425,0.17345234,0.458747185,1.673599412
13.0725,7.5824,11.074126,11.5387774,-5.449270984,1.5,10,2.25,20.99375,1.5625,3.3875,14.56355,0.866025404,1.732050808,0.433012702,3.456740399,0.1602147,1.026240103,4.952366272
1.3449,0.4069,0.993161,35.18566843,-2.620169865,2.4,49.2,4.8,120.7794,2.056,1.462,7.01502,0.489897949,31.93368128,1.469693846,83.0025716,0.347079242,0.389122089,0.915975793
2.3856,1.1553,1.813246,6.754585508,-5.370318447,2.666666667,4.666666667,2,10.01233333,1.586666667,1.896666667,9.968566667,0.942809042,0.942809042,0,1.413270753,0.080138769,0.46197643,0.913393399
5.9228,3.8509,5.339185,6.184920508,-5.910717323,3,6,2,12.2565,1.5825,2.55,12.4128,0.707106781,1.224744871,0,2.041269397,0.068328252,0.600124987,2.229170341
1.022,0.1855,1.030122,24.91233368,-2.438188096,2.4,36.4,4.4,82.9488,1.834,1.748,8.7356,0.489897949,10.59433811,0.489897949,27.21325775,0.266878249,0.433469722,1.358523775
1.6696,0.8021,1.66268,22.87372368,-2.63526802,2.4,29.2,4,65.3696,1.814,1.752,9.01484,0.489897949,15.45833109,0.894427191,38.55273338,0.266803298,0.437465427,1.597068801
1.4077,0.3694,1.006575,23.81516186,-3.709125302,2.4,30,4,68.643,2.11,1.588,8.03184,0.489897949,26.97406161,1.264911064,70.89160657,0.295025423,0.805342163,3.282680211
4.149,1.7928,2.694149,26.6401176,-3.982116102,1.714285714,18,3.428571429,36.79528571,1.997142857,2.095714286,9.675585714,0.699854212,1.8516402,0.494871659,3.198687218,0.27143609,1.000626334,3.190202781
2.1176,0.8048,1.616406,21.10484277,-3.906934376,2.4,16.4,3.4,33.0418,2.056,1.646,8.67208,0.489897949,5.083306011,0.8,10.15236123,0.320973519,0.835597989,3.385254046
